GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400043US34,34,New Jersey -- Rural,469709,4207,415524,4033,22991,1284,1107,256,13648,1232,66,52,7689,997,8684,913,1291,389,7393,806
0400043US35,35,New Mexico -- Rural,461987,4164,312026,4243,3727,598,98329,2194,2685,485,154,74,34144,2139,10922,874,3367,529,7555,775
0400043US36,36,New York -- Rural,2334627,6607,2201461,6596,40506,1621,12450,634,22099,1393,621,237,20142,1429,37348,1487,4164,579,33184,1508
0400043US37,37,North Carolina -- Rural,3338770,9695,2619061,9869,478057,5594,77040,1613,25593,1492,1556,310,72597,3466,64866,2714,8125,955,56741,2533
0400043US38,38,North Dakota -- Rural,298069,1624,259042,1418,2418,579,27532,477,1452,326,62,37,2528,658,5035,514,372,94,4663,515
0400043US39,39,Ohio -- Rural,2540748,7193,2457295,7239,24008,1551,3706,475,10299,783,471,145,9798,911,35171,1610,3119,448,32052,1551
0400043US40,40,Oklahoma -- Rural,1301995,4401,999907,4561,30466,1362,142657,2078,8188,686,913,190,18073,1093,101791,2005,3550,359,98241,1909
0400043US41,41,Oregon -- Rural,744752,5155,686865,5399,2751,386,14442,845,6996,603,892,225,10468,1115,22338,1387,1527,333,20811,1273
0400043US42,42,Pennsylvania -- Rural,2695274,7923,2599306,7545,34462,1462,2945,338,17054,1158,442,178,10726,1023,30339,1560,3011,440,27328,1520
0400043US44,44,Rhode Island -- Rural,97829,1886,93384,1926,757,235,401,182,1262,379,91,152,587,272,1347,325,69,63,1278,313
0400043US45,45,South Carolina -- Rural,1605330,7884,1116777,6195,428834,5151,6139,700,8383,1000,522,251,17449,1546,27226,1372,1945,423,25281,1372
0400043US46,46,South Dakota -- Rural,365649,1650,304740,1683,1552,372,48012,870,1752,266,117,69,1461,217,8015,590,230,88,7785,577
0400043US47,47,Tennessee -- Rural,2196563,6677,2039136,6320,90000,1933,5753,634,12823,1173,826,265,11319,1114,36706,1770,2314,387,34392,1671
0400043US48,48,Texas -- Rural,4213180,13756,3674443,14322,234763,4755,23791,1672,45695,2170,2041,512,148492,5065,83955,3116,16837,1569,67118,2301
0400043US49,49,Utah -- Rural,291295,3287,267076,3355,1379,360,11057,491,2090,525,548,200,4888,750,4257,568,725,221,3532,515
0400043US50,50,Vermont -- Rural,380765,2056,366739,1936,2331,327,1523,267,2367,384,163,95,920,242,6722,568,167,62,6555,569
0400043US51,51,Virginia -- Rural,2007588,6196,1665341,6351,256889,3141,5582,579,22035,1359,861,239,15251,1445,41629,2185,3321,588,38308,2100
0400043US53,53,Washington -- Rural,1111847,6701,978221,6716,8074,898,33863,1437,15011,1185,1968,352,36056,2587,38654,1835,3372,553,35282,1748
0400043US54,54,West Virginia -- Rural,935008,3916,907081,3667,12005,797,1867,447,2170,348,164,94,1869,432,9852,841,561,213,9291,878
0400043US55,55,Wisconsin -- Rural,1718786,3732,1636817,4107,10558,655,26278,805,11538,947,358,70,10233,728,23004,1235,1903,377,21101,1134
0400043US56,56,Wyoming -- Rural,205470,1805,189486,1763,864,300,8468,568,1061,321,56,35,1348,340,4187,537,437,163,3750,529
0400043US72,72,Puerto Rico -- Rural,203861,5228,145071,4580,17750,1844,130,82,396,202,0,32,33966,2172,6548,1026,704,316,5844,997
04000A0US01,01,Alabama -- In metropolitan or micropolitan statistical area,4405570,*****,3019252,3172,1154441,1962,22089,1217,60765,1358,2096,583,63362,3266,83565,2625,7448,1056,76117,2381
04000A0US02,02,Alaska -- In metropolitan or micropolitan statistical area,545570,*****,381747,1451,22142,740,39275,1512,35744,875,8116,348,8594,1106,49952,2084,2472,647,47480,1846
04000A0US04,04,Arizona -- In metropolitan or micropolitan statistical area,6708499,*****,5237386,9569,292099,2487,244706,2979,212974,2128,13257,600,472460,8267,235617,5713,48507,2227,187110,4781
04000A0US05,05,Arkansas -- In metropolitan or micropolitan statistical area,2437859,*****,1853636,3060,396422,1704,15728,1095,39555,844,6758,628,63728,2856,62032,2345,6033,1070,55999,1915
04000A0US06,06,California -- In metropolitan or micropolitan statistical area,38712763,*****,23371895,32349,2260258,6191,284377,6246,5499677,8916,151166,1863,5321239,37909,1824151,22216,398857,8891,1425294,16746
04000A0US08,08,Colorado -- In metropolitan or micropolitan statistical area,5131473,*****,4298488,6135,217384,2294,45043,2007,162692,1736,8076,521,217140,5171,182650,4427,32472,2079,150178,3734
04000A0US09,09,Connecticut -- In metropolitan or micropolitan statistical area,3594478,*****,2757064,5474,376240,2518,9385,867,156450,1587,931,212,183754,5315,110654,3017,25216,2170,85438,2849
04000A0US10,10,Delaware -- In metropolitan or micropolitan statistical area,943732,*****,652170,1798,206290,1405,3482,471,36553,717,465,263,18512,1797,26260,1432,2514,502,23746,1479
04000A0US11,11,District of Columbia -- In metropolitan or micropolitan statistical area,672391,*****,273471,1971,321062,1247,1757,465,25558,570,289,84,30961,2100,19293,1277,2665,452,16628,1199
04000A0US12,12,Florida -- In metropolitan or micropolitan statistical area,19932529,*****,15074600,14028,3208164,7398,54335,2317,541832,3262,11907,1010,533602,11447,508089,9462,89415,3715,418674,7803
