GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Ancestry specified:,Margin of Error; Ancestry specified:,Estimate; Ancestry specified: - Single ancestry,Margin of Error; Ancestry specified: - Single ancestry,Estimate; Ancestry specified: - Multiple ancestry,Margin of Error; Ancestry specified: - Multiple ancestry,Estimate; Ancestry not specified:,Margin of Error; Ancestry not specified:,Estimate; Ancestry not specified: - Ancestry unclassified,Margin of Error; Ancestry not specified: - Ancestry unclassified,Estimate; Ancestry not specified: - Ancestry not reported,Margin of Error; Ancestry not specified: - Ancestry not reported
04000A0US24,24,Maryland -- In metropolitan or micropolitan statistical area,5914112,*****,4969986,11928,3542094,15047,1427892,8957,944126,11928,88411,2958,855715,11148
04000A0US25,25,Massachusetts -- In metropolitan or micropolitan statistical area,6778407,*****,5887500,13377,3650011,18810,2237489,11397,890907,13377,61950,2634,828957,12910
04000A0US26,26,Michigan -- In metropolitan or micropolitan statistical area,9260982,*****,7736095,11756,4835699,18043,2900396,13342,1524887,11756,161740,3426,1363147,10512
04000A0US27,27,Minnesota -- In metropolitan or micropolitan statistical area,4979024,*****,4272132,6921,2330977,12186,1941155,10888,706892,6921,80165,2443,626727,6556
04000A0US28,28,Mississippi -- In metropolitan or micropolitan statistical area,2342930,*****,1893791,8588,1566743,8762,327048,5517,449139,8588,43683,2313,405456,7532
04000A0US29,29,Missouri -- In metropolitan or micropolitan statistical area,5244536,*****,4123211,10518,2684780,11893,1438431,9120,1121325,10518,138892,4021,982433,10494
04000A0US30,30,Montana -- In metropolitan or micropolitan statistical area,672901,101,549733,3785,303867,4179,245866,3675,123168,3787,13817,1122,109351,3653
04000A0US31,31,Nebraska -- In metropolitan or micropolitan statistical area,1553708,94,1287104,4704,776719,5417,510385,5175,266604,4710,28726,1373,237878,4432
04000A0US32,32,Nevada -- In metropolitan or micropolitan statistical area,2854543,168,2482072,7355,1765368,10388,716704,7925,372471,7351,40185,2016,332286,6995
04000A0US33,33,New Hampshire -- In metropolitan or micropolitan statistical area,1284324,*****,1098288,3737,579253,5452,519035,5830,186036,3737,27593,1859,158443,3504
04000A0US34,34,New Jersey -- In metropolitan or micropolitan statistical area,8960161,*****,7948056,14662,5445015,22413,2503041,15299,1012105,14662,89065,2750,923040,15016
